Speaker	Transcript	# Words	# Nodes	# Tokens	# Propositions	Tree depth	S-Expression
HOLT 	"Beginning with you, Secretary Clinton, why are you a better choice than your opponent to create the kinds of jobs that will put more money into the pockets of American works?"	31	67	33	14	21	"(ROOT (PP (VBG Beginning) (PP (IN with) (NP (NP (PRP you)) (, ,) (NP (NNP Secretary) (NNP Clinton)) (, ,) (SBAR (WHADVP (WRB why)) (S (VP (VBP are) (VP (NP (PRP you)) (NP (NP (DT a) (JJR better) (NN choice)) (PP (IN than) (NP (PRP$ your) (NN opponent)))) (S (VP (TO to) (VP (VB create) (NP (NP (DT the) (NNS kinds)) (PP (IN of) (NP (NP (NNS jobs)) (SBAR (WHNP (WDT that)) (S (VP (MD will) (VP (VB put) (NP (JJR more) (NN money)) (PP (IN into) (NP (NP (DT the) (NNS pockets)) (PP (IN of) (NP (JJ American) (NNS works)))))))))))))))))))))))"
CLINTON 	"Well, thank you, Lester, and thanks to Hofstra for hosting us."	11	29	15	5	6	"(ROOT (S (INTJ (UH Well)) (, ,) (VP (VB thank) (NP (NP (PRP you)) (, ,) (NP (NNP Lester)) (, ,) (CC and) (NP (NP (NNS thanks)) (PP (TO to) (NP (NNP Hofstra))))) (PP (IN for) (S (VP (VBG hosting) (NP (PRP us)))))) (. .)))"
CLINTON 	The central question in this election is really what kind of country we want to be and what kind of future we'll build together.	24	53	26	11	9	(ROOT (S (NP (NP (DT The) (JJ central) (NN question)) (PP (IN in) (NP (DT this) (NN election)))) (VP (VBZ is) (ADVP (RB really)) (SBAR (SBAR (WHNP (WP what) (NN kind) (PP (IN of) (NP (NN country)))) (S (NP (PRP we)) (VP (VBP want) (S (VP (TO to) (VP (VB be))))))) (CC and) (SBAR (WHNP (WP what) (NN kind) (PP (IN of) (NP (NN future)))) (S (NP (PRP we)) (VP (MD 'll) (VP (VB build) (ADVP (RB together)))))))) (. .)))
CLINTON 	"Today is my granddaughter's second birthday, so I think about this a lot."	13	29	16	4	6	"(ROOT (S (S (NP (NNP Today)) (VP (VBZ is) (NP (NP (PRP$ my) (NN granddaughter) (POS 's)) (JJ second) (NN birthday)))) (, ,) (IN so) (S (NP (PRP I)) (VP (VBP think) (PP (IN about) (NP (NP (DT this)) (NP (DT a) (NN lot)))))) (. .)))"
CLINTON 	"First, we have to build an economy that works for everyone, not just those at the top."	17	41	20	9	12	"(ROOT (S (ADVP (RB First)) (, ,) (NP (PRP we)) (VP (VBP have) (S (VP (TO to) (VP (VB build) (NP (NP (NP (DT an) (NN economy)) (SBAR (WHNP (WDT that)) (S (VP (VBZ works) (PP (IN for) (NP (NN everyone))))))) (, ,) (CONJP (RB not) (RB just)) (NP (NP (DT those)) (PP (IN at) (NP (DT the) (NN top))))))))) (. .)))"
CLINTON 	"That means we need new jobs, good jobs, with rising incomes."	11	27	14	6	8	"(ROOT (S (NP (DT That)) (VP (VBZ means) (SBAR (S (NP (PRP we)) (VP (VBP need) (NP (NP (NP (JJ new) (NNS jobs)) (, ,) (NP (JJ good) (NNS jobs)) (, ,)) (PP (IN with) (NP (VBG rising) (NNS incomes)))))))) (. .)))"
CLINTON 	I want us to invest in you.	7	17	8	4	7	(ROOT (S (NP (PRP I)) (VP (VBP want) (S (NP (PRP us)) (VP (TO to) (VP (VB invest) (PP (IN in) (NP (PRP you))))))) (. .)))
CLINTON 	I want us to invest in your future.	8	18	9	4	7	(ROOT (S (NP (PRP I)) (VP (VBP want) (S (NP (PRP us)) (VP (TO to) (VP (VB invest) (PP (IN in) (NP (PRP$ your) (NN future))))))) (. .)))
CLINTON 	"That means jobs in infrastructure, in advanced manufacturing, innovation and technology, clean, renewable energy, and small business, because most of the new jobs will come from small business."	28	57	35	13	8	"(ROOT (S (NP (DT That)) (VP (VBZ means) (NP (NNS jobs)) (PP (IN in) (NP (NN infrastructure))) (, ,) (PP (IN in) (NP (NP (JJ advanced) (NN manufacturing)) (, ,) (NP (NN innovation) (CC and) (NN technology)) (, ,) (NP (JJ clean) (, ,) (JJ renewable) (NN energy)) (, ,) (CC and) (NP (JJ small) (NN business)))) (, ,) (SBAR (IN because) (S (NP (NP (JJS most)) (PP (IN of) (NP (DT the) (JJ new) (NNS jobs)))) (VP (MD will) (VP (VB come) (PP (IN from) (NP (JJ small) (NN business)))))))) (. .)))"
CLINTON 	We also have to make the economy fairer.	8	19	9	5	7	(ROOT (S (NP (PRP We)) (ADVP (RB also)) (VP (VBP have) (S (VP (TO to) (VP (VB make) (S (NP (DT the) (NN economy)) (ADJP (JJR fairer))))))) (. .)))
CLINTON 	"That starts with raising the national minimum wage and also guarantee, finally, equal pay for women's work."	17	38	21	10	7	"(ROOT (S (S (NP (DT That)) (VP (VBZ starts) (PP (IN with) (S (VP (VBG raising) (NP (DT the) (JJ national) (JJ minimum) (NN wage))))))) (CC and) (ADVP (RB also)) (S (NP (NN guarantee)) (, ,) (ADVP (RB finally)) (, ,) (VP (VBP equal) (VP (VB pay) (PP (IN for) (NP (NP (NNS women) (POS 's)) (NN work)))))) (. .)))"
CLINTON 	I also want to see more companies do profit-sharing.	9	21	10	6	8	(ROOT (S (NP (PRP I)) (ADVP (RB also)) (VP (VBP want) (S (VP (TO to) (VP (VB see) (S (NP (JJR more) (NNS companies)) (VP (VB do) (NP (NN profit-sharing)))))))) (. .)))
CLINTON 	"If you help create the profits, you should be able to share in them, not just the executives at the top."	21	44	24	10	10	"(ROOT (S (SBAR (IN If) (S (NP (PRP you)) (VP (VBP help) (VP (VB create) (NP (DT the) (NNS profits)))))) (, ,) (NP (PRP you)) (VP (MD should) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB share) (PP (IN in) (NP (NP (PRP them)) (, ,) (RB not) (RB just) (NP (DT the) (NNS executives)))) (PP (IN at) (NP (DT the) (NN top))))))))) (. .)))"
CLINTON 	And I want us to do more to support people who are struggling to balance family and work.	18	41	19	10	17	(ROOT (S (CC And) (NP (PRP I)) (VP (VBP want) (S (NP (PRP us)) (VP (TO to) (VP (VB do) (NP (JJR more)) (S (VP (TO to) (VP (VB support) (NP (NP (NNS people)) (SBAR (WHNP (WP who)) (S (VP (VBP are) (VP (VBG struggling) (S (VP (TO to) (VP (VB balance) (NP (NN family) (CC and) (NN work))))))))))))))))) (. .)))
CLINTON 	I've heard from so many of you about the difficult choices you face and the stresses that you're under.	19	47	22	12	9	(ROOT (S (S (NP (PRP I)) (VP (VBP 've) (VP (VBN heard) (PP (IN from) (NP (NP (RB so) (JJ many)) (PP (IN of) (NP (PRP you))))) (PP (IN about) (NP (NP (DT the) (JJ difficult) (NNS choices)) (SBAR (S (NP (PRP you)) (VP (VBP face))))))))) (CC and) (S (NP (DT the)) (VP (VBZ stresses) (SBAR (IN that) (S (NP (PRP you)) (VP (VBP 're) (ADJP (JJ under))))))) (. .)))
CLINTON 	"So let's have paid family leave, earned sick days."	9	23	12	6	9	"(ROOT (S (RB So) (VP (VB let) (SBAR (S (NP (PRP 's)) (VP (VBP have) (VP (VBN paid) (NP (NP (NN family) (NN leave)) (, ,) (VP (VBN earned) (NP (JJ sick) (NNS days))))))))) (. .)))"
CLINTON 	Let's be sure we have affordable child care and debt-free college.	11	25	13	6	9	(ROOT (S (NP (NNP Let)) (VP (VBZ 's) (VP (VB be) (ADJP (JJ sure) (SBAR (S (NP (PRP we)) (VP (VBP have) (NP (NP (JJ affordable) (NN child) (NN care)) (CC and) (NP (JJ debt-free) (NN college))))))))) (. .)))
CLINTON 	How are we going to do it?	7	16	7	4	7	(ROOT (SBARQ (WHADVP (WRB How)) (SQ (VBP are) (NP (PRP we)) (VP (VBG going) (S (VP (TO to) (VP (VB do) (NP (PRP it)))))))))
CLINTON 	We're going to do it by having the wealthy pay their fair share and close the corporate loopholes.	18	38	20	11	13	(ROOT (S (NP (PRP We)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB do) (NP (PRP it)) (PP (IN by) (S (VP (VBG having) (S (NP (DT the) (JJ wealthy)) (VP (VP (VB pay) (NP (PRP$ their) (JJ fair) (NN share))) (CC and) (VP (VB close) (NP (DT the) (JJ corporate) (NNS loopholes))))))))))))) (. .)))
CLINTON 	"Finally, we tonight are on the stage together, Donald Trump and I. Donald, it's good to be with you."	19	44	24	9	8	"(ROOT (S (S (ADVP (RB Finally)) (, ,) (NP (PRP we)) (NP (NN tonight)) (VP (VBP are) (PP (IN on) (NP (DT the) (NN stage))) (ADVP (RB together)) (, ,) (NP (NP (NNP Donald) (NNP Trump)) (CC and) (NP (NNP I.) (NNP Donald))))) (, ,) (NP (PRP it)) (VP (VBZ 's) (ADJP (JJ good) (S (VP (TO to) (VP (VB be) (PP (IN with) (NP (PRP you)))))))) (. .)))"
CLINTON 	We're going to have a debate where we are talking about the important issues facing our country.	17	39	19	9	14	(ROOT (S (NP (PRP We)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB have) (NP (NP (DT a) (NN debate)) (SBAR (WHADVP (WRB where)) (S (NP (PRP we)) (VP (VBP are) (VP (VBG talking) (PP (IN about) (NP (DT the) (JJ important) (NNS issues))) (S (VP (VBG facing) (NP (PRP$ our) (NN country)))))))))))))) (. .)))
CLINTON 	"You have to judge us, who can shoulder the immense, awesome responsibilities of the presidency, who can put into action the plans that will make your life better."	28	65	32	11	19	"(ROOT (S (NP (PRP You)) (VP (VBP have) (S (VP (TO to) (VP (VB judge) (NP (PRP us))))) (, ,) (SBAR (WHNP (WP who)) (S (VP (MD can) (VP (VB shoulder) (NP (NP (DT the) (JJ immense) (, ,) (JJ awesome) (NNS responsibilities)) (PP (IN of) (NP (NP (DT the) (NN presidency)) (, ,) (SBAR (WHNP (WP who)) (S (VP (MD can) (VP (VB put) (PP (IN into) (NP (NN action))) (NP (NP (DT the) (NNS plans)) (SBAR (WHNP (WDT that)) (S (VP (MD will) (VP (VB make) (NP (PRP$ your) (NN life)) (ADVP (RBR better))))))))))))))))))) (. .)))"
CLINTON 	I hope that I will be able to earn your vote on November 8th.	14	30	15	6	12	(ROOT (S (NP (PRP I)) (VP (VBP hope) (SBAR (IN that) (S (NP (PRP I)) (VP (MD will) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB earn) (NP (PRP$ your) (NN vote)) (PP (IN on) (NP (NNP November) (NNP 8th)))))))))))) (. .)))
HOLT 	"Secretary Clinton, thank you."	4	10	6	1	3	"(ROOT (S (NP (NNP Secretary) (NNP Clinton)) (, ,) (VP (VB thank) (NP (PRP you))) (. .)))"
HOLT 	"Mr. Trump, the same question to you."	7	15	9	3	4	"(ROOT (NP (NP (NNP Mr.) (NNP Trump)) (, ,) (NP (NP (DT the) (JJ same) (NN question)) (PP (TO to) (NP (PRP you)))) (. .)))"
HOLT 	It's about putting money — more money into the pockets of American workers.	13	29	15	7	9	(ROOT (S (NP (PRP It)) (VP (VBZ 's) (PP (IN about) (S (VP (VBG putting) (NP (NP (NN money)) (: --) (NP (JJR more) (NN money))) (PP (IN into) (NP (NP (DT the) (NNS pockets)) (PP (IN of) (NP (JJ American) (NNS workers))))))))) (. .)))
HOLT 	You have up to two minutes.	6	12	7	2	4	(ROOT (S (NP (PRP You)) (VP (VBP have) (NP (QP (IN up) (TO to) (CD two)) (NNS minutes))) (. .)))
TRUMP 	"Thank you, Lester."	3	9	5	1	3	"(ROOT (S (VP (VB Thank) (NP (PRP you))) (, ,) (NP (NNP Lester)) (. .)))"
TRUMP 	Our jobs are fleeing the country.	6	12	7	2	4	(ROOT (S (NP (PRP$ Our) (NNS jobs)) (VP (VBP are) (VP (VBG fleeing) (NP (DT the) (NN country)))) (. .)))
TRUMP 	They're going to Mexico.	4	12	6	4	5	(ROOT (S (NP (PRP They)) (VP (VBP 're) (VP (VBG going) (PP (TO to) (NP (NNP Mexico))))) (. .)))
TRUMP 	They're going to many other countries.	6	14	8	6	5	(ROOT (S (NP (PRP They)) (VP (VBP 're) (VP (VBG going) (PP (TO to) (NP (JJ many) (JJ other) (NNS countries))))) (. .)))
TRUMP 	You look at what China is doing to our country in terms of making our product.	16	36	17	9	13	(ROOT (S (NP (PRP You)) (VP (VBP look) (PP (IN at) (SBAR (WHNP (WP what)) (S (NP (NNP China)) (VP (VBZ is) (VP (VBG doing) (PP (TO to) (NP (PRP$ our) (NN country))) (PP (IN in) (NP (NP (NNS terms)) (PP (IN of) (S (VP (VBG making) (NP (PRP$ our) (NN product))))))))))))) (. .)))
TRUMP 	"They're devaluing their currency, and there's nobody in our government to fight them."	13	34	17	6	10	"(ROOT (S (S (NP (PRP They)) (VP (VBP 're) (VP (VBG devaluing) (NP (PRP$ their) (NN currency))))) (, ,) (CC and) (S (NP (EX there)) (VP (VBZ 's) (NP (NP (NN nobody)) (PP (IN in) (NP (PRP$ our) (NN government) (S (VP (TO to) (VP (VB fight) (NP (PRP them)))))))))) (. .)))"
TRUMP 	And we have a very good fight.	7	13	8	3	4	(ROOT (S (CC And) (NP (PRP we)) (VP (VBP have) (NP (DT a) (ADJP (RB very) (JJ good)) (NN fight))) (. .)))
TRUMP 	And we have a winning fight.	6	11	7	2	3	(ROOT (S (CC And) (NP (PRP we)) (VP (VBP have) (NP (DT a) (JJ winning) (NN fight))) (. .)))
TRUMP 	"Because they're using our country as a piggy bank to rebuild China, and many other countries are doing the same thing."	21	42	24	11	10	"(ROOT (S (SBAR (IN Because) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG using) (NP (PRP$ our) (NN country)) (PP (IN as) (NP (DT a) (JJ piggy) (NN bank))) (S (VP (TO to) (VP (VB rebuild) (NP (NP (NNP China)) (, ,) (CC and) (NP (JJ many) (JJ other) (NNS countries)))))))))) (VP (VBP are) (VP (VBG doing) (NP (DT the) (JJ same) (NN thing)))) (. .)))"
TRUMP 	"So we're losing our good jobs, so many of them."	10	24	13	6	7	"(ROOT (S (IN So) (NP (PRP we)) (VP (VBP 're) (VP (VBG losing) (NP (NP (PRP$ our) (JJ good) (NNS jobs)) (, ,) (NP (NP (QP (RB so) (JJ many))) (PP (IN of) (NP (PRP them))))))) (. .)))"
TRUMP 	"When you look at what's happening in Mexico, a friend of mine who builds plants said it's the eighth wonder of the world."	23	60	27	11	11	"(ROOT (S (SBAR (WHADVP (WRB When)) (S (NP (PRP you)) (VP (VBP look) (PP (IN at) (SBAR (WHNP (WP what)) (S (VP (VBZ 's) (VP (VBG happening) (PP (IN in) (NP (NNP Mexico))))))))))) (, ,) (NP (NP (DT a) (NN friend)) (PP (IN of) (NP (NP (NN mine)) (SBAR (WHNP (WP who)) (S (VP (VBZ builds) (NP (NNS plants)))))))) (VP (VBD said) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (NP (NP (DT the) (JJ eighth) (NN wonder)) (PP (IN of) (NP (DT the) (NN world)))))))) (. .)))"
TRUMP 	"They're building some of the biggest plants anywhere in the world, some of the most sophisticated, some of the best plants."	21	47	25	11	13	"(ROOT (S (NP (PRP They)) (VP (VBP 're) (VP (VBG building) (NP (NP (DT some)) (PP (IN of) (NP (NP (DT the) (JJS biggest) (NNS plants)) (ADVP (RB anywhere) (PP (IN in) (NP (NP (DT the) (NN world)) (, ,) (NP (NP (DT some)) (PP (IN of) (NP (DT the) (ADJP (RBS most) (JJ sophisticated))))) (, ,) (NP (NP (DT some)) (PP (IN of) (NP (DT the) (JJS best) (NNS plants)))))))))))) (. .)))"
TRUMP 	"With the United States, as he said, not so much."	10	21	13	5	4	"(ROOT (FRAG (SBAR (PP (IN With) (NP (DT the) (NNP United) (NNPS States))) (, ,) (IN as) (S (NP (PRP he)) (VP (VBD said)))) (, ,) (ADVP (RB not) (RB so) (RB much)) (. .)))"
TRUMP 	So Ford is leaving.	4	9	5	2	3	(ROOT (S (IN So) (NP (NNP Ford)) (VP (VBZ is) (VP (VBG leaving))) (. .)))
TRUMP 	"You see that, their small car division leaving."	8	18	10	3	5	"(ROOT (S (NP (PRP You)) (VP (VBP see) (NP (NP (DT that)) (, ,) (NP (NP (PRP$ their) (JJ small) (NN car) (NN division)) (VP (VBG leaving))))) (. .)))"
TRUMP 	"Thousands of jobs leaving Michigan, leaving Ohio."	7	19	9	3	5	"(ROOT (NP (NP (NP (NNS Thousands)) (PP (IN of) (NP (NNS jobs)))) (VP (VBG leaving) (NP (NNP Michigan)) (, ,) (S (VP (VBG leaving) (NP (NNP Ohio))))) (. .)))"
TRUMP 	They're all leaving.	3	9	5	3	3	(ROOT (S (NP (PRP They)) (VP (VBP 're) (RB all) (VP (VBG leaving))) (. .)))
TRUMP 	And we can't allow it to happen anymore.	8	19	10	5	7	(ROOT (S (CC And) (NP (PRP we)) (VP (MD ca) (RB n't) (VP (VB allow) (S (NP (PRP it)) (VP (TO to) (VP (VB happen) (ADVP (RB anymore))))))) (. .)))
TRUMP 	"As far as child care is concerned and so many other things, I think Hillary and I agree on that."	20	40	22	10	8	"(ROOT (S (ADVP (RB As) (RB far) (SBAR (IN as) (S (NP (NN child) (NN care)) (VP (VBZ is) (NP (ADJP (ADJP (JJ concerned)) (CC and) (ADJP (RB so) (JJ many))) (JJ other) (NNS things)))))) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NNP Hillary) (CC and) (PRP I)) (VP (VBP agree) (PP (IN on) (NP (DT that))))))) (. .)))"
TRUMP 	"We probably disagree a little bit as to numbers and amounts and what we're going to do, but perhaps we'll be talking about that later."	25	57	29	14	12	"(ROOT (S (S (NP (PRP We)) (ADVP (RB probably)) (VP (VBP disagree) (NP (NP (DT a) (JJ little) (NN bit)) (UCP (IN as) (PP (TO to) (NP (NNS numbers) (CC and) (NNS amounts))) (CC and) (SBAR (WHNP (WP what)) (S (NP (PRP we)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB do)))))))))))) (, ,) (CC but) (S (ADVP (RB perhaps)) (NP (PRP we)) (VP (MD 'll) (VP (VB be) (VP (VBG talking) (PP (IN about) (NP (DT that))) (ADVP (RB later)))))) (. .)))"
TRUMP 	But we have to stop our jobs from being stolen from us.	12	26	13	7	11	(ROOT (S (CC But) (NP (PRP we)) (VP (VBP have) (S (VP (TO to) (VP (VB stop) (NP (PRP$ our) (NNS jobs)) (PP (IN from) (S (VP (VBG being) (VP (VBN stolen) (PP (IN from) (NP (PRP us))))))))))) (. .)))
TRUMP 	"We have to stop our companies from leaving the United States and, with it, firing all of their people."	19	42	22	8	10	"(ROOT (S (NP (PRP We)) (VP (VBP have) (S (VP (TO to) (VP (VP (VB stop) (NP (PRP$ our) (NNS companies)) (PP (IN from) (S (VP (VBG leaving) (NP (DT the) (NNP United) (NNPS States)))))) (CC and) (PRN (, ,) (PP (IN with) (NP (PRP it))) (, ,)) (VP (VB firing) (NP (NP (DT all)) (PP (IN of) (NP (PRP$ their) (NNS people))))))))) (. .)))"
TRUMP 	All you have to do is take a look at Carrier air conditioning in Indianapolis.	15	34	16	7	8	(ROOT (S (NP (NP (DT All)) (SBAR (S (NP (PRP you)) (VP (VBP have) (S (VP (TO to) (VP (VB do)))))))) (VP (VBZ is) (VP (VB take) (NP (DT a) (NN look)) (PP (IN at) (NP (NP (NN Carrier) (NN air) (NN conditioning)) (PP (IN in) (NP (NNP Indianapolis))))))) (. .)))
TRUMP 	"They left — fired 1,400 people."	6	14	7	2	4	"(ROOT (S (S (NP (PRP They)) (VP (VBD left))) (: --) (S (VP (VBN fired) (NP (CD 1,400) (NNS people)))) (. .)))"
TRUMP 	They're going to Mexico.	4	12	6	4	5	(ROOT (S (NP (PRP They)) (VP (VBP 're) (VP (VBG going) (PP (TO to) (NP (NNP Mexico))))) (. .)))
TRUMP 	So many hundreds and hundreds of companies are doing this.	10	19	11	4	4	(ROOT (S (IN So) (NP (NP (JJ many) (NNS hundreds) (CC and) (NNS hundreds)) (PP (IN of) (NP (NNS companies)))) (VP (VBP are) (VP (VBG doing) (NP (DT this)))) (. .)))
TRUMP 	We cannot let it happen.	5	14	7	3	5	(ROOT (S (NP (PRP We)) (VP (MD can) (RB not) (VP (VB let) (S (NP (PRP it)) (VP (VB happen))))) (. .)))
TRUMP 	"Under my plan, I'll be reducing taxes tremendously, from 35 percent to 15 percent for companies, small and big businesses."	20	44	25	10	11	"(ROOT (S (PP (IN Under) (NP (PRP$ my) (NN plan))) (, ,) (NP (PRP I)) (VP (MD 'll) (VP (VB be) (VP (VBG reducing) (NP (NNS taxes)) (ADVP (RB tremendously)) (, ,) (PP (IN from) (NP (NP (CD 35) (NN percent)) (PP (TO to) (NP (NP (CD 15) (NN percent)) (PP (IN for) (NP (NP (NNS companies)) (, ,) (NP (JJ small) (CC and) (JJ big) (NNS businesses))))))))))) (. .)))"
TRUMP 	That's going to be a job creator like we haven't seen since Ronald Reagan.	14	32	17	8	12	(ROOT (S (NP (DT That)) (VP (VBZ 's) (VP (VBG going) (S (VP (TO to) (VP (VB be) (NP (DT a) (NN job) (NN creator)) (SBAR (IN like) (S (NP (PRP we)) (VP (VBP have) (RB n't) (VP (VBN seen) (PP (IN since) (NP (NNP Ronald) (NNP Reagan)))))))))))) (. .)))
TRUMP 	It's going to be a beautiful thing to watch.	9	22	11	7	10	(ROOT (S (NP (PRP It)) (VP (VBZ 's) (VP (VBG going) (S (VP (TO to) (VP (VB be) (NP (DT a) (JJ beautiful) (NN thing) (S (VP (TO to) (VP (VB watch)))))))))) (. .)))
TRUMP 	Companies will come.	3	8	4	1	3	(ROOT (S (NP (NNS Companies)) (VP (MD will) (VP (VB come))) (. .)))
TRUMP 	They will build.	3	8	4	1	3	(ROOT (S (NP (PRP They)) (VP (MD will) (VP (VB build))) (. .)))
TRUMP 	They will expand.	3	8	4	1	3	(ROOT (S (NP (PRP They)) (VP (MD will) (VP (VB expand))) (. .)))
TRUMP 	New companies will start.	4	9	5	1	3	(ROOT (S (NP (NNP New) (NNS companies)) (VP (MD will) (VP (VB start))) (. .)))
TRUMP 	"And I look very, very much forward to doing it."	10	22	12	8	6	"(ROOT (S (CC And) (NP (PRP I)) (VP (VBP look) (ADVP (ADVP (JJ very)) (, ,) (RB very) (ADVP (RB much) (RB forward))) (PP (TO to) (S (VP (VBG doing) (NP (PRP it)))))) (. .)))"
TRUMP 	"We have to renegotiate our trade deals, and we have to stop these countries from stealing our companies and our jobs."	21	44	23	8	11	"(ROOT (S (S (NP (PRP We)) (VP (VBP have) (S (VP (TO to) (VP (VB renegotiate) (NP (PRP$ our) (NN trade) (NNS deals))))))) (, ,) (CC and) (S (NP (PRP we)) (VP (VBP have) (S (VP (TO to) (VP (VB stop) (NP (DT these) (NNS countries)) (PP (IN from) (S (VP (VBG stealing) (NP (NP (PRP$ our) (NNS companies)) (CC and) (NP (PRP$ our) (NNS jobs))))))))))) (. .)))"
HOLT 	"Secretary Clinton, would you like to respond?"	7	17	8	4	7	"(ROOT (S (NP (NNP Secretary)) (VP (VBD Clinton) (, ,) (SQ (MD would) (NP (PRP you)) (VP (VB like) (S (VP (TO to) (VP (VB respond)))))))))"
CLINTON 	"Well, I think that trade is an important issue."	9	20	11	3	6	"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (NP (NN trade)) (VP (VBZ is) (NP (DT an) (JJ important) (NN issue)))))) (. .)))"
